confidence	sample	category	iteration	count	pf_count	ratio
95	SRR6750041	small	first	77621181	49151864	0.6332274691878239
95	SRR6750041	small	second	77621181	48974827	0.6309466870904734
99	SRR6750041	small	first	77621181	48941306	0.6305148333159218
99	SRR6750041	small	second	77621181	48156620	0.620405659635609
999	SRR6750041	small	first	77621181	47457357	0.611396997425226
999	SRR6750041	small	second	77621181	42312598	0.5451166479932842
95	SRR6750042	main	first	175426860	111719202	0.636842054859786
95	SRR6750042	main	second	175426860	111319525	0.6345637435453156
99	SRR6750042	main	first	175426860	111273045	0.6342987898204414
99	SRR6750042	main	second	175426860	109475918	0.6240544805966429
999	SRR6750042	main	first	175426860	107833351	0.6146912223133904
999	SRR6750042	main	second	175426860	97896692	0.5580484767269961
95	SRR6750043	main	first	168899523	102216127	0.605188961960538
95	SRR6750043	main	second	168899524	101784269	0.6026320654402791
99	SRR6750043	main	first	168899524	101777159	0.6025899694069001
99	SRR6750043	main	second	168899524	99873901	0.591321388211846
999	SRR6750043	main	first	168899524	98524687	0.5833331241359804
999	SRR6750043	main	second	168899524	84236435	0.4987369591402756
95	SRR6750044	main	first	180669687	106816427	0.5912249518647807
95	SRR6750044	main	second	180669687	106342482	0.5886016839117012
99	SRR6750044	main	first	180669687	106339392	0.5885845808765916
99	SRR6750044	main	second	180669687	104210978	0.5768038885239226
999	SRR6750044	main	first	180669687	102854911	0.5692981080993404
999	SRR6750044	main	second	180669687	81542667	0.4513356299775955
95	SRR6750045	main	first	162780062	104362013	0.6411228237522111
95	SRR6750045	main	second	162780062	103992000	0.6388497382437415
99	SRR6750045	main	first	162780062	103916592	0.6383864874065474
99	SRR6750045	main	second	162780062	102256091	0.6281856005190611
999	SRR6750045	main	first	162780062	100540577	0.6176467545515495
999	SRR6750045	main	second	162780062	91960158	0.5649350225705161
95	SRR6750046	main	first	169265756	109321257	0.6458557216971872
95	SRR6750046	main	second	169265755	108923452	0.6435055454660631
99	SRR6750046	main	first	169265756	108863613	0.6431520206603396
99	SRR6750046	main	second	169265756	107202238	0.6333368339429506
999	SRR6750046	main	first	169265756	105381115	0.6225778768860962
999	SRR6750046	main	second	169265756	95363064	0.5633925387719888
95	SRR6750047	main	first	159583744	104993415	0.6579204896959931
95	SRR6750047	main	second	159583744	104629009	0.6556370114991161
99	SRR6750047	main	first	159583744	104542369	0.6550940990581096
99	SRR6750047	main	second	159583744	103050954	0.6457484416457857
999	SRR6750047	main	first	159583744	101134949	0.6337421748921995
999	SRR6750047	main	second	159583744	94923741	0.5948208672181547
95	SRR6750048	main	first	169834969	106200377	0.6253151375439059
95	SRR6750048	main	second	169834969	105791226	0.6229060282632372
99	SRR6750048	main	first	169834969	105755841	0.6226976789450234
99	SRR6750048	main	second	169834969	103968877	0.6121759117817486
999	SRR6750048	main	first	169834969	102403628	0.6029596178158103
999	SRR6750048	main	second	169834969	90978058	0.535685074373582
95	SRR6750049	main	first	158251360	100073545	0.6323708371289827
95	SRR6750049	main	second	158251360	99696287	0.6299869208075052
99	SRR6750049	main	first	158251360	99680728	0.6298886025371283
99	SRR6750049	main	second	158251360	97896809	0.618615909525201
999	SRR6750049	main	first	158251360	96527489	0.6099630928922191
999	SRR6750049	main	second	158251360	85500508	0.5402829271103895
